"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 16 04:26:58 GMT 2024","Sun Jun 16 04:26:59 GMT 2024","1505","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Sun Jun 16 04:26:54 GMT 2024","Sun Jun 16 04:26:56 GMT 2024","1936","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Sun Jun 16 04:27:00 GMT 2024","Sun Jun 16 04:27:01 GMT 2024","1231","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Sun Jun 16 04:26:56 GMT 2024","Sun Jun 16 04:26:58 GMT 2024","1717","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Sun Jun 16 04:27:04 GMT 2024","Sun Jun 16 04:27:05 GMT 2024","1631","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Sun Jun 16 04:27:10 GMT 2024","Sun Jun 16 04:27:10 GMT 2024","0","CrossBrowser Test Suite","ChromeTest","FrameworkTest","FrameworkTest","testPass","testPass",""
"passed","Sun Jun 16 04:27:03 GMT 2024","Sun Jun 16 04:27:04 GMT 2024","1553","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Sun Jun 16 04:27:01 GMT 2024","Sun Jun 16 04:27:03 GMT 2024","1418","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
"passed","Sun Jun 16 04:27:05 GMT 2024","Sun Jun 16 04:27:06 GMT 2024","759","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that the Base URL and Title of the application are correct and as expected."
"passed","Sun Jun 16 04:26:54 GMT 2024","Sun Jun 16 04:26:56 GMT 2024","1922","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the Top Menu Navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected Title."
